org_id,scheme,identifier,publisher_name,registry_slug,url
GB-CHC-1013587,IATI,GB-CHC-1013587,Chance for Childhood,chanceforchildhood,https://dashboard.iatistandard.org/publishers/chanceforchildhood/
GB-CHC-1016676,IATI,GB-CHC-1016676,INTRAC,intrac,https://dashboard.iatistandard.org/publishers/intrac/
GB-CHC-1017255,IATI,GB-CHC-1017255,Homeless International,hi,https://dashboard.iatistandard.org/publishers/hi/
GB-CHC-1017336,IATI,GB-CHC-1017336,Elton John AIDS Foundation,ejaf,https://dashboard.iatistandard.org/publishers/ejaf/
GB-CHC-1020488,IATI,GB-CHC-1020488,Children in Crisis,cic,https://dashboard.iatistandard.org/publishers/cic/
GB-CHC-1024903,IATI,GB-CHC-1024903,Hospice Africa Ltd,hauk,https://dashboard.iatistandard.org/publishers/hauk/
GB-CHC-1027201,IATI,GB-CHC-1027201,Institute for War & Peace Reporting,iwpr,https://dashboard.iatistandard.org/publishers/iwpr/
GB-CHC-1029161,IATI,GB-CHC-1029161,Camfed International,camfed,https://dashboard.iatistandard.org/publishers/camfed/
GB-CHC-1030884,IATI,GB-CHC-1030884,The Wildfowl and Wetlands Trust,gb-chc-1030884,https://dashboard.iatistandard.org/publishers/gb-chc-1030884/
GB-CHC-1038785,IATI,GB-CHC-1038785,Mifumi UK,mifumi_uk,https://dashboard.iatistandard.org/publishers/mifumi_uk/
GB-CHC-1038860,IATI,GB-CHC-1038860,Frontline AIDS,f-aids,https://dashboard.iatistandard.org/publishers/f-aids/
GB-CHC-1043843,IATI,GB-CHC-1043843,Saferworld,saferworld,https://dashboard.iatistandard.org/publishers/saferworld/
GB-CHC-1046001,IATI,GB-CHC-1046001,Disability and Development Partners,ddp,https://dashboard.iatistandard.org/publishers/ddp/
GB-CHC-1046579,IATI,GB-CHC-1046579,Consortium for Street Children,csc,https://dashboard.iatistandard.org/publishers/csc/
GB-CHC-1047501,IATI,GB-CHC-1047501,Action Against Hunger UK,acf,https://dashboard.iatistandard.org/publishers/acf/
GB-CHC-1047653,IATI,GB-CHC-1047653,Raleigh International,raleigh_int,https://dashboard.iatistandard.org/publishers/raleigh_int/
GB-CHC-1048007,IATI,GB-CHC-1048007,Link Community Development International,lcdi_admin,https://dashboard.iatistandard.org/publishers/lcdi_admin/
GB-CHC-1049160,IATI,GB-CHC-1049160,Anti-Slavery International,asil,https://dashboard.iatistandard.org/publishers/asil/
GB-CHC-1051681,IATI,GB-CHC-1051681,Amnesty International UK Section Charitable Trust,aiuk,https://dashboard.iatistandard.org/publishers/aiuk/
GB-CHC-1053389,IATI,GB-CHC-1053389,Viva,viva,https://dashboard.iatistandard.org/publishers/viva/
GB-CHC-1054369,IATI,GB-CHC-1054369,KwaAfrica,kwaafrica,https://dashboard.iatistandard.org/publishers/kwaafrica/
GB-CHC-1055436,IATI,GB-CHC-1055436,Conciliation Resources,cr,https://dashboard.iatistandard.org/publishers/cr/
GB-CHC-1058162,IATI,GB-CHC-1058162,Christian Blind Mission (UK) Ltd.,cbm,https://dashboard.iatistandard.org/publishers/cbm/
GB-CHC-1058991,IATI,GB-CHC-1058991,Railway Children,rc,https://dashboard.iatistandard.org/publishers/rc/
GB-CHC-1061352,IATI,GB-CHC-1061352,Orbis Charitable Trust,orbis_uk,https://dashboard.iatistandard.org/publishers/orbis_uk/
GB-CHC-1065705,IATI,GB-CHC-1065705,Survivors Fund (SURF),surf,https://dashboard.iatistandard.org/publishers/surf/
GB-CHC-1065972,IATI,GB-CHC-1065972,International Rescue Committee UK,irc_uk,https://dashboard.iatistandard.org/publishers/irc_uk/
GB-CHC-1067406,IATI,GB-CHC-1067406,Doctors of the World UK,dotw_uk,https://dashboard.iatistandard.org/publishers/dotw_uk/
GB-CHC-1069182,IATI,GB-CHC-1069182,International Service,unais,https://dashboard.iatistandard.org/publishers/unais/
